state,IncomePerCapita,mean_age,urban,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg,ICU-stay,onset-to-death,Hospital-Admission-to-death,onset-to-diagnosis,onset-to-hospital-discharge,onset-to-hospital-admission,onset-to-ICU-admission,onset-to-diagnosis-pcr
PA,806,30.12364659,0.6848,0.581545455,0.448664336,0.774482517,0.572356643,-0.705044763,76.52058771,67.94999439,4.7010095,0.316453403,1277.093382,0.033386511,8.328671643,14.73927992,8.064966219,13.32381469,19.31804914,9.193699195,11.13921045,12.40132982
PB,928,34.12326241,0.7537,0.587654709,0.477412556,0.755735426,0.564381166,-0.632988049,76.9675388,65.82665774,7.582297685,0.372152698,1028.131695,0.077485297,7.383275889,13.95374094,8.092231433,12.69026947,17.07943727,8.070740269,8.843441564,11.98985754
PE,970,33.50279898,0.8017,0.596248649,0.490556757,0.755659459,0.574378378,-0.644436982,74.94862376,65.39628301,9.969100674,0.42084588,1109.323411,0.071499706,8.85976158,12.95231662,8.28612172,13.58937325,21.58821076,7.353889955,7.902090676,11.06079165
PI,826,33.07937399,0.6577,0.571049107,0.456691964,0.749540179,0.5468125,-0.684210039,78.22945638,69.97679284,4.667637577,0.312959851,953.2000678,0.037103413,8.891374046,16.47422594,10.83900064,16.74438305,14.22965156,8.084464532,8.010936121,9.98425743
PR,1620,35.49184637,0.8533,0.7019599,0.611045113,0.820451128,0.691949875,-0.204584635,64.85822332,29.45751149,34.19302831,0.61523723,2036.832166,0.145384314,9.630128939,15.74800877,11.20092581,12.00954,15.10653512,7.080663914,7.783173861,9.581654318
RJ,1881,36.68940347,0.9671,0.708913043,0.620902174,0.816097826,0.704565217,-0.25447317,58.57952012,31.70454453,26.40978867,1.248163961,2134.868528,0.094773441,7.794633692,14.2315813,9.560060418,19.80932443,17.50591482,7.23140537,7.507108596,13.2298995
RN,1056,34.01551286,0.7781,0.610850299,0.516473054,0.762760479,0.58039521,-0.581269445,72.98621673,62.65948955,9.543452072,0.456684045,1146.271875,0.08262152,7.460417381,15.20845657,8.441311154,12.69098866,16.90658782,9.447156487,9.625933868,9.738904694
RO,1136,31.79618583,0.7355,0.644038462,0.516423077,0.788826923,0.658173077,-0.45055199,71.70837916,44.95593665,10.16337154,0.29994315,1710.84885,0.071914259,8.360286666,14.66577952,9.863192776,5.128312798,18.74451703,7.232100648,7.680939678,9.218708702
RR,1043,28.78366744,0.7655,0.6102,0.4992,0.798066667,0.577866667,-0.635197397,73.9684961,67.91619936,8.764309577,0.287377605,1307.23117,0.032091165,9.777119349,11.15952525,9.427022171,3.818466497,17.97746247,8.176094658,8.398906008,6.043004868
RS,1842,37.46175974,0.851,0.713530242,0.60071371,0.840429435,0.722114919,-0.109895434,64.66466842,23.83653713,40.92484206,0.577794314,2375.498848,0.176658695,11.15076131,15.44621507,11.55198339,15.29845354,16.19651483,6.845931361,8.439167881,8.029705804
SC,1769,35.67968613,0.8399,0.731648464,0.636522184,0.84696587,0.728037543,-0.045754537,62.86997158,19.55547887,41.66698223,0.655719493,2606.670603,0.172885092,11.72778905,17.79167707,12.73387186,12.31515969,15.85086197,7.137432424,8.156105325,9.69380796
SE,979,32.55399667,0.7352,0.596933333,0.489733333,0.755826667,0.577146667,-0.677788062,74.48627856,65.72882953,8.685713758,0.387342847,1107.081179,0.03881689,9.368197106,13.36674441,8.767980302,6.675237368,20.15904858,7.580798513,8.88905736,9.839258289
SP,1945,35.86864488,0.9671,0.739527132,0.676336434,0.835992248,0.716486822,-0.080071775,58.27794488,22.00457603,40.77117958,1.354088273,2380.987831,0.139507751,9.4301434,16.20542905,11.2550222,16.08892145,17.26071591,7.308740153,8.089550592,10.41626472
TO,1055,31.58436294,0.788,0.639928058,0.545776978,0.789769784,0.610496403,-0.571379463,70.42575237,58.56230219,11.5035379,0.395401114,1338.141487,0.034582822,8.521781187,14.83698609,9.161007468,12.87792312,15.93503689,8.147780628,9.130990813,7.81029102
