state,IncomePerCapita,mean_age,urban,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg,ICU-stay,onset-to-death,Hospital-Admission-to-death,onset-to-diagnosis,onset-to-hospital-discharge,onset-to-hospital-admission,onset-to-ICU-admission,onset-to-diagnosis-pcr
AC,889,28.39232506,0.7256,0.586090909,0.452227273,0.766590909,0.585454545,-0.695882755,76.75746503,66.07616104,6.873121636,0.239221933,1287.666675,0.040551971,9.070898757,17.44716245,11.31753801,,19.6841607,8.386711015,12.92328237,11.67550877
AL,730,31.91897746,0.7364,0.5635,0.442745098,0.739539216,0.548362745,-0.738750723,79.59368453,72.57464429,7.587263359,0.351297235,988.1237419,0.052962491,7.304731441,13.95341776,8.421629601,14.34805198,18.30146222,8.370950276,7.995608006,13.85460271
AM,842,28.54485119,0.7909,0.565112903,0.436935484,0.765548387,0.545112903,-0.771683023,77.75619821,74.68157479,2.219499871,0.294950484,1236.670302,0.033394153,8.511115063,15.62947856,8.628712935,13.23495415,19.65833699,9.866261099,11.29448932,13.65793505
AP,879,28.25003916,0.8977,0.6428125,0.5499375,0.7839375,0.618875,-0.631564377,69.4799536,62.31229575,10.39192214,0.269598681,1655.189168,0.029283436,10.04515817,14.52528582,9.623720288,10.23586762,16.39973997,8.026562868,10.86128326,13.64173934
BA,912,33.87835322,0.7207,0.593904077,0.48188729,0.759582734,0.574743405,-0.678934088,75.1268806,65.6029507,9.658680227,0.409552565,1096.703858,0.027290125,8.008629793,15.14661745,10.11565881,16.65266934,17.61088637,7.774196233,8.650611173,9.510285396
CE,942,33.47152827,0.7509,0.616630435,0.552119565,0.761342391,0.559293478,-0.631480029,71.37168649,68.48123456,5.478396619,0.630082035,995.4801065,0.065770411,8.92526914,16.11163395,10.2446955,13.62940017,19.33059521,9.478452814,10.9334674,14.07409044
DF,2685,33.7352207,0.9658,0.824,0.742,0.873,0.863,0.44924301,44.75223692,18.26419394,53.24137107,5.937638302,5651.43367,0.108976987,8.444243055,16.40727361,11.75623835,12.23672195,16.83098967,8.063813595,8.558782319,8.765172112
ES,1476,34.8172019,0.834,0.692192308,0.591358974,0.82574359,0.680628205,-0.330178519,65.73258453,37.01280515,20.8716974,0.79838705,1906.213567,0.100082306,10.03337863,16.96106115,10.91572436,16.86389325,15.95327239,7.895774947,8.296841682,10.43231996
GO,1306,33.60657241,0.9029,0.69498374,0.596073171,0.825487805,0.68404065,-0.319970026,65.36006291,33.93935932,25.0282004,0.672178799,1891.975951,0.083357589,8.048488681,14.47547301,9.514560603,11.14416699,16.37518276,7.109473651,7.760325924,9.239227662
MA,635,30.61423667,0.6308,0.576184332,0.48862212,0.740603687,0.531663594,-0.747351832,76.55683035,74.54538914,3.588481664,0.280175484,971.8466017,0.031355173,9.132546541,15.00031454,8.139004292,14.2921479,19.0245029,9.4277913,10.84372442,14.13627251
MG,1357,36.12313583,0.8529,0.667878077,0.556827667,0.823810082,0.651966002,-0.406283215,69.47959388,41.72339335,22.70972607,0.664243191,1677.565913,0.088915316,8.963349531,15.09879641,10.4566694,12.36068444,15.77992762,7.389698712,7.749504169,9.802755028
MS,1514,33.5333264,0.8564,0.679705128,0.557410256,0.821448718,0.687846154,-0.318463919,67.81605248,36.19607337,24.24528056,0.833469765,1965.92561,0.104415826,7.553126115,14.81470736,10.34386424,13.48748414,15.95962945,6.716215247,8.457222253,8.692346197
MT,1402,32.53217581,0.818,0.68429078,0.576992908,0.817326241,0.682148936,-0.35111511,66.6297782,37.19180231,16.99759381,0.593037857,1955.122196,0.079739909,6.832732233,14.11781061,8.726544819,12.28077445,18.16311196,7.842718441,8.659105092,9.454453311
