state,IncomePerCapita,mean_age,urban,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg,ICU-stay,onset-to-death,Hospital-Admission-to-death,onset-to-diagnosis,onset-to-hospital-discharge,onset-to-hospital-admission,onset-to-ICU-admission,onset-to-diagnosis-pcr
MT,1402,32.53217581,0.818,0.001464308,0.003978793,0.000323964,0.001980271,0.021702358,33.31639578,130.8339903,45.13434326,0.293309083,306652.335,0.000996319,0.38025918,0.253807776,0.216785197,0.099595197,0.020774782,0.025191127,0.093264131,0.004059024
PA,806,30.12364659,0.6848,0.003133799,0.007466943,0.000449787,0.003374879,0.020491087,57.84244666,144.0388247,11.73410715,0.13827935,178610.5752,0.000250236,0.047293988,0.018621307,0.017009864,0.040696955,0.035661118,0.007344145,0.045078329,0.005442102
PB,928,34.12326241,0.7537,0.001430542,0.003144099,0.000939078,0.001470111,0.012275224,27.28399631,56.04834678,13.76589716,0.472219787,101915.1499,0.000482768,0.12426485,0.073489108,0.054374587,0.368998023,0.24395142,0.018824294,0.067596193,0.023534898
PE,970,33.50279898,0.8017,0.002257633,0.0046194,0.0012239,0.002216802,0.015423546,52.72618559,103.4064075,15.53460495,0.293040262,163717.4393,0.000577392,0.228263799,0.021159642,0.022546802,1.302075342,0.204090154,0.005055416,0.027548322,0.005045635
PI,826,33.07937399,0.6577,0.001608092,0.003780833,0.000785774,0.001748494,0.009251826,27.78388889,66.73519006,8.939322906,0.228169379,86930.6571,0.000940337,0.403614221,0.221270552,0.182349464,10.28820216,0.312499804,0.017740459,0.07981965,0.013207783
PR,1620,35.49184637,0.8533,0.00148733,0.003951189,0.000439695,0.001463595,0.02022638,41.69992132,131.7656238,46.09964528,0.33541278,233281.8355,0.000523051,0.067734616,0.111664648,0.095869055,0.552697034,0.040294793,0.009752823,0.038061508,0.00782515
RJ,1881,36.68940347,0.9671,0.001351882,0.003174353,0.000329891,0.001753897,0.023089408,57.33615556,53.14066859,47.80989114,0.866827975,386838.6051,0.00074768,0.031023461,0.010299391,0.009535774,0.884768881,0.01440098,0.001972999,0.005704479,0.003227177
RN,1056,34.01551286,0.7781,0.001433983,0.003092395,0.000702653,0.001662445,0.014487624,30.27324504,88.3584488,22.00483252,0.345997526,117535.6994,0.00087003,0.122085169,0.108678408,0.065935163,0.391119766,0.110767837,0.027808075,0.089686204,0.023217331
RO,1136,31.79618583,0.7355,0.001621057,0.00393817,0.000595087,0.001312499,0.012266341,34.75315151,91.21973742,17.3248853,0.099457553,178307.4158,0.000296291,0.253572219,0.328871183,0.28143736,0.115867617,0.820963242,0.075207154,0.194421014,0.075926357
RR,1043,28.78366744,0.7655,0.005427029,0.011932743,0.000234495,0.006014267,0.034431774,78.90238575,159.8584536,34.20779412,0.154412627,326345.7315,0.0002009,0.881974593,0.236203926,0.243251309,0.19671005,2.117869408,0.340318095,0.751957818,0.070876294
RS,1842,37.46175974,0.851,0.001699543,0.00443555,0.00049608,0.001922635,0.027557039,52.97629215,156.1578662,98.19755082,0.292645338,517000.087,0.000289949,0.092758971,0.142279835,0.131738641,1.488578879,0.043449377,0.008299993,0.051333331,0.006106952
SC,1769,35.67968613,0.8399,0.00161327,0.003561045,0.000860095,0.001710194,0.023879944,54.71839904,126.6247103,48.92188881,0.444335174,453177.2931,0.000444035,0.348957448,0.354629953,0.30399765,0.445576324,0.113287538,0.018169504,0.068295135,0.018796435
SE,979,32.55399667,0.7352,0.00139336,0.003384225,0.000801253,0.001627451,0.013370861,39.60907234,77.5185856,19.90815377,0.309908755,125449.0569,0.000652751,0.282732813,0.345890932,0.258650106,3.356026859,1.525479017,0.042303938,0.187983637,0.046744396
SP,1945,35.86864488,0.9671,0.001054778,0.00234168,0.000481725,0.001621713,0.031438298,38.39052621,84.52706128,56.97552775,1.653157849,406189.598,0.001095552,0.008154138,0.006728265,0.005744818,0.065035449,0.0092736,0.000630942,0.00284572,0.000735478
TO,1055,31.58436294,0.788,0.002082517,0.004498711,0.001182135,0.002424252,0.018387801,34.92614776,123.5747405,20.99593395,0.238990016,179159.7021,0.000534395,0.851754914,0.435627022,0.329678939,26.47124187,0.345585249,0.06022982,0.500438278,0.039158956
