state,IncomePerCapita,mean_age,urban,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg,ICU-stay,onset-to-death,Hospital-Admission-to-death,onset-to-diagnosis,onset-to-hospital-discharge,onset-to-hospital-admission,onset-to-ICU-admission,onset-to-diagnosis-pcr
AC,889,28.39232506,0.7256,0.003456277,0.007624279,0.000766634,0.003336545,0.022671209,50.00982684,122.8803677,28.90805749,0.070918321,162061.4144,0.000147105,2.738005254,0.4836519,0.739228192,,8.255606186,0.112803421,11232.07063,0.127177969
AL,730,31.91897746,0.7364,0.00156746,0.002924806,0.00105136,0.001587679,0.00897047,27.78352618,53.25348813,11.58668067,0.256334555,83916.04431,0.00025473,0.067472473,0.080602852,0.069927733,0.246899089,0.174941767,0.023864193,0.038598569,0.058689187
AM,842,28.54485119,0.7909,0.002899807,0.007023733,0.000707793,0.002612495,0.015335805,40.44700072,83.74648833,15.86869561,0.131563391,123241.9433,0.0002457,0.054241828,0.033972692,0.025238262,0.096554026,0.095877434,0.011246666,0.069979112,0.01429069
AP,879,28.25003916,0.8977,0.001824429,0.004485529,0.000387662,0.002830783,0.024030652,48.37301452,116.2463558,26.17634537,0.202513268,274254.1655,0.000271874,0.799347273,0.497465179,0.354031709,1.339727889,0.847673141,0.105224347,0.570234245,0.476591187
BA,912,33.87835322,0.7207,0.001701529,0.003612783,0.000909845,0.00199959,0.013120975,39.89952598,76.56938538,14.24272177,0.311510728,110145.0789,0.001317022,0.053206256,0.052936707,0.041050009,6.376975505,0.109833001,0.009519779,0.026819829,0.00736998
CE,942,33.47152827,0.7509,0.001003032,0.002395057,0.000487931,0.001401378,0.009943078,26.48316699,57.87548018,12.02004226,0.465854965,72749.32012,0.000326553,0.038444456,0.019538405,0.017406428,0.204307434,0.025077006,0.004353264,0.0326236,0.008659238
DF,2685,33.7352207,0.9658,,,,,,,,,,,,0.107830652,0.15740684,0.155327338,1.614809971,0.043868546,0.013230726,0.036888089,0.013776002
ES,1476,34.8172019,0.834,0.001451534,0.003358363,0.000303648,0.001853691,0.026484755,50.90966165,92.49471982,53.03819074,0.60042443,401960.8145,0.000987356,0.10718816,0.080095722,0.074999541,5.032199446,0.160439155,0.030467294,0.066489909,0.022542831
GO,1306,33.60657241,0.9029,0.001119787,0.002948754,0.000245606,0.001676047,0.01960844,29.64873929,129.2345547,38.41853864,0.376610931,243339.9047,0.000894937,0.126699978,0.11846602,0.105499685,1.160420048,0.137553527,0.014643187,0.04117297,0.014775355
MA,635,30.61423667,0.6308,0.002131234,0.00465719,0.000790509,0.002778058,0.01293785,39.91495058,86.88343773,8.39875807,0.12946703,107004.2458,0.000437181,0.294589616,0.04504186,0.058782507,0.323742737,1.140483191,0.04032948,0.241133575,0.041142215
MG,1357,36.12313583,0.8529,0.002463807,0.004822525,0.000890919,0.003073981,0.040638731,50.0716319,240.022869,111.4482261,0.474401641,293479.2759,0.002089372,0.087360026,0.07687097,0.064105342,0.132764318,0.030941724,0.008136925,0.027496645,0.00665346
MS,1514,33.5333264,0.8564,0.001694263,0.003636583,0.000575471,0.001718573,0.020929239,36.25299245,143.450848,38.93177732,0.446680585,239314.6543,0.00047508,0.669057254,0.623341431,0.532747063,2.604165499,0.382816848,0.029086789,0.196030043,0.025142088
